"","age_30_39....both_df..30.to.39.Years.Old.","age_40_49....both_df..40.to.49.Years.Old."
"1362",NA,NA
"1363",NA,NA
"1364",NA,NA
"1365",NA,NA
"1366",NA,NA
"1367",NA,NA
"1368",NA,NA
"1369",NA,NA
"1370",NA,NA
"1371",NA,NA
"1372",NA,NA
"1373",NA,NA
"1374",NA,NA
"1375",315,371
"1376",NA,74
"1377",319,357
"1378",217,205
"1379",201,141
"1380",194,208
"1381",339,344
"1382",146,103
"1383",231,262
"1384",457,704
"1385",421,NA
"1386",259,195
"1387",662,745
"1388",110,112
"1389",NA,70
"1390",NA,205
"1391",NA,NA
"1392",212,419
"1393",NA,NA
"1394",NA,89
"1395",NA,NA
"1396",814,918
"1397",526,262
"1398",NA,NA
"1399",NA,77
"1400",NA,114
"1401",473,447
"1402",274,NA
"1403",NA,NA
"1404",NA,NA
"1405",222,232
"1406",NA,NA
"1407",NA,NA
"1408",424,276
"1409",296,206
"1410",188,243
"1411",NA,NA
"1412",NA,751
"1413",240,603
"1414",NA,NA
"1415",NA,NA
"1416",966,NA
"1417",NA,NA
"1418",NA,NA
"1419",514,534
"1420",NA,NA
"1421",NA,NA
"1422",NA,NA
"1423",767,781
"1424",NA,NA
"1425",689,713
"1426",46,145
"1427",NA,NA
"1428",NA,NA
"1429",NA,841
"1430",105,152
"1431",211,260
"1432",112,282
"1433",NA,NA
"1434",NA,NA
"1435",328,183
"1436",NA,NA
"1437",362,447
"1438",NA,NA
"1439",918,447
"1440",NA,NA
"1441",52,134
"1442",NA,NA
"1443",NA,NA
"1444",782,405
"1445",NA,NA
"1446",NA,NA
"1447",368,396
"1448",222,68
"1449",220,284
"1450",NA,NA
"1451",731,640
"1452",550,295
"1453",332,175
"1454",372,NA
"1455",620,321
"1456",202,122
"1457",310,183
"1458",NA,NA
"1459",695,692
"1460",636,538
"1461",NA,617
"1462",243,341
"1463",NA,NA
"1464",522,470
"1465",NA,NA
"1466",306,163
"1467",NA,NA
"1468",NA,NA
"1469",NA,NA
"1470",NA,NA
"1471",587,302
"1472",NA,NA
"1473",127,NA
"1474",247,87
"1475",350,439
"1476",351,289
"1477",NA,NA
"1478",NA,NA
"1479",NA,161
"1480",NA,NA
"1481",98,214
"1482",647,751
"1483",308,245
"1484",165,90
"1485",61,NA
"1486",NA,NA
"1487",NA,NA
"1488",NA,NA
"1489",NA,NA
"1490",NA,NA
"1491",NA,NA
"1492",NA,NA
"1493",NA,NA
"1494",NA,NA
"1495",NA,NA
"1496",NA,NA
"1497",NA,NA
"1498",NA,NA
"1499",NA,NA
"1500",NA,NA
"1501",NA,NA
"1502",359,266
"1503",83,82
"1504",517,473
"1505",NA,607
"1506",249,367
"1507",624,404
"1508",712,585
"1509",139,NA
"1510",524,191
"1511",NA,734
"1512",713,947
"1513",NA,864
"1514",NA,727
"1515",292,170
"1516",127,NA
"1517",654,591
"1518",NA,NA
"1519",243,212
"1520",NA,NA
"1521",87,NA
"1522",NA,115
"1523",NA,NA
"1524",470,608
"1525",NA,NA
"1526",518,444
"1527",NA,155
"1528",404,578
"1529",367,149
"1530",NA,NA
"1531",NA,NA
"1532",199,236
"1533",NA,NA
"1534",222,202
"1535",830,732
"1536",314,237
"1537",267,98
"1538",95,NA
"1539",NA,NA
"1540",736,951
"1541",NA,NA
"1542",NA,NA
"1543",NA,NA
"1544",NA,NA
"1545",NA,NA
"1546",NA,NA
"1547",NA,NA
"1548",NA,NA
"1549",NA,NA
"1550",NA,NA
"1551",NA,NA
"1552",NA,NA
"1553",223,218
"1554",NA,NA
"1555",NA,NA
"1556",NA,NA
"1557",507,617
"1558",789,923
"1559",563,500
"1560",NA,NA
"1561",NA,NA
"1562",526,340
"1563",NA,NA
"1564",NA,NA
"1565",NA,NA
"1566",NA,NA
"1567",NA,NA
"1568",176,192
"1569",NA,NA
"1570",NA,NA
"1571",NA,NA
"1572",NA,NA
